name,is_baseline,status,alpha,cl,cd,cm,ld,t_max,x_tmax,polar_file,dat_file,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_000,True,ok,2.0,0.7196,0.00564,-0.1014,127.58865248226951,0.12030398624479416,0.3006012024048096,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_000_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_000.dat,0.0015574793,-3.86697e-05,0.21828767,0.23832163,0.30765553,0.1991259,0.30210088,0.25983377,-0.13451469,-0.06345951,-0.01589266,-0.07290444,0.02177084,-0.04373223
sample_001,False,ok,2.0,0.7529,0.00549,-0.1241,137.14025500910748,0.12289920928529677,0.39078156312625245,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_001_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_001.dat,0.0015574793,-3.86697e-05,0.1651805938091251,0.2526702605352214,0.2925011181802743,0.2631121281041482,0.3553060512965164,0.3109692160628581,-0.1748806554408391,-0.0277343022397906,-0.0044637631814985,-0.1361234734479509,0.0378587041712331,-0.0781325496323668
sample_002,False,ok,2.0,0.6468,0.00544,-0.0744,118.8970588235294,0.11199295423769838,0.2745490981963928,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_002_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_002.dat,0.0015574793,-3.86697e-05,0.234525201689593,0.2357369906601832,0.2754637674361016,0.150052872644112,0.2564661493184586,0.2005482391711376,-0.1188997513682393,-0.0379475875812572,-0.0298250276041407,-0.0851551655839046,0.0349467128378857,-0.0399096338305145
sample_003,False,ok,2.0,0.6995,0.00683,-0.1012,102.41581259150806,0.10865014388181661,0.2945891783567134,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_003_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_003.dat,0.0015574793,-3.86697e-05,0.2387602100969202,0.1804114279786528,0.2986017475130103,0.1544887703402984,0.3298208415773541,0.2592545724240523,-0.170719236053512,0.0005899724898557,-0.0742475648643719,-0.015303213174523,-0.0345165215036439,-0.0068286508511206
sample_004,False,ok,2.0,0.7027,0.00633,-0.0837,111.01105845181675,0.12324653719684694,0.23246492985971942,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_004_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_004.dat,0.0015574793,-3.86697e-05,0.2655097434695376,0.2664470689063937,0.3214158645230822,0.1547811827871275,0.2784896601670311,0.2845482712230083,-0.1528620463088402,-0.0510932484422531,0.0242485441505457,-0.0715875195776497,0.0208705918738173,-0.0919438851023406
sample_005,False,ok,2.0,0.6672,0.00643,-0.0846,103.76360808709175,0.11009752793766572,0.22645290581162322,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_005_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_005.dat,0.0015574793,-3.86697e-05,0.2273285203896555,0.2513095181180872,0.2494848712891188,0.1427919286032882,0.2399793465539498,0.270349482925762,-0.1770424709994809,-0.0061538398493552,-0.0184457660338799,-0.0747737309036492,-0.0412479424065044,-0.0010154892730397
sample_006,False,ok,2.0,0.6881,0.00555,-0.1046,123.98198198198199,0.12351418851802508,0.2865731462925851,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_006_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_006.dat,0.0015574793,-3.86697e-05,0.1700430750766448,0.2277941349954676,0.3624665428707716,0.1663862667656906,0.2709325377455999,0.257619126451943,-0.1713964879539312,-0.1013591856751654,0.0151313357876707,-0.0581222888404001,0.0280789093283556,-0.0612743024824561
sample_007,False,ok,2.0,0.6138,0.00533,-0.0887,115.1594746716698,0.1369445249490809,0.30861723446893785,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_007_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_007.dat,0.0015574793,-3.86697e-05,0.1634403750669834,0.250868021911225,0.3154504770957202,0.2079415133960248,0.2448754352076602,0.226496403902057,-0.1757296327865362,-0.1283541145114559,-0.0425569005068283,-0.1287529935279915,0.0163269582333289,-0.0626400343197253
sample_008,False,ok,2.0,0.6649,0.00616,-0.0922,107.9383116883117,0.1343354664716871,0.2725450901803607,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_008_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_008.dat,0.0015574793,-3.86697e-05,0.244892368286995,0.2473271591853994,0.2937262588562817,0.1484725373067115,0.3527869031124838,0.2841436794528243,-0.1646012237155684,-0.0972331910991734,-0.0744313268772164,-0.0806507951729283,-0.0123152910477261,-0.0621601878247369
sample_009,False,ok,2.0,0.7334,0.00572,-0.0967,128.21678321678323,0.12547102788344663,0.280561122244489,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_009_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_009.dat,0.0015574793,-3.86697e-05,0.2140963129070853,0.2974207003403259,0.2928253028218162,0.222442535535739,0.329235469673472,0.2275331287150697,-0.0864377320633264,-0.1003768386193701,0.0070931815883229,-0.0397732371497271,0.0417518953364808,-0.0792024909353599
sample_010,False,ok,2.0,0.7476,0.00633,-0.0983,118.10426540284361,0.11851939219287426,0.25851703406813625,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_010_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_010.dat,0.0015574793,-3.86697e-05,0.2518193161166133,0.2664967377922995,0.2985160293882144,0.182121695175051,0.3494810304259069,0.239936904304025,-0.1304566769745214,-0.047500416571288,0.0233016016407476,-0.0703667934561824,0.0093400586032194,-0.0369399300995275
sample_011,False,ok,2.0,0.7423,0.00577,-0.0927,128.6481802426343,0.14346059285815016,0.3006012024048096,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_011_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_011.dat,0.0015574793,-3.86697e-05,0.2698037148426942,0.3005786432945319,0.3599082114921679,0.1782031966918119,0.3633706067715986,0.2766042907956655,-0.1390499446384021,-0.048825368763035,-0.0757882882572026,-0.0622953691962554,-0.0331906113906065,-0.0615790737435926
sample_012,False,ok,2.0,0.7014,0.00573,-0.1107,122.40837696335079,0.13233116013633195,0.30861723446893785,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\polars\sample_012_polar.txt,D:\BH\航空项目制\优化\yixingyouhua2(1)\yixingyouhua2\batch_run\airfoils\sample_012.dat,0.0015574793,-3.86697e-05,0.1971773113678926,0.249644901283607,0.3031843173240716,0.2303239236645107,0.3581778048681857,0.2857919703687983,-0.1928225270530283,-0.0815800132666599,-0.0423681703886726,-0.0807469679395107,-0.0033571049594311,-0.0862484464312059
