Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd,L_over_D,t_max,camber_max,dat_path,Quality,cluster_id
E385  8pt41,0,-0.05740546,0.084279338,0.024550779,0.20109872,0.16893777,0.31274995,0.23641752,0.27184402,0.66147653,0.0181643,36.416296251438254,0.08448175806763551,0.05741364634982699,..\airfoil_opt\data\processed\E385  8pt41.dat,优秀,1
GOE 523 AIRFOIL,0,-0.10156131,0.026815573,0.13233184,0.41037555,0.36103388,0.51840019,0.39692373,0.56439567,1.1111138,0.030807975,36.06578491445803,0.16596886525612137,0.09852877778894933,..\airfoil_opt\data\processed\GOE 523 AIRFOIL.dat,优秀,3
GOE 525 AIRFOIL,0,-0.10156131,0.026815573,0.13233184,0.41037555,0.36103388,0.51840019,0.39692373,0.56439567,1.1111138,0.030807975,36.06578491445803,0.16596886525612137,0.09852877778894933,..\airfoil_opt\data\processed\GOE 525 AIRFOIL.dat,优秀,3
GOE 441 AIRFOIL,0,-0.15974115,0.045423959,0.059007582,0.2214231,0.30907987,0.5059579,0.30797078,0.42737257,0.83919859,0.024896394,33.70763613397185,0.16138699321583888,0.07969816061318924,..\airfoil_opt\data\processed\GOE 441 AIRFOIL.dat,优秀,3
FX 74CL6140,0,-0.076964676,0.085778121,-0.097316284,0.26753669,0.24882423,0.54323697,0.16766394,0.31153184,0.75985893,0.0216638839999999,35.074916852398374,0.13986745047645313,0.0707630507404648,..\airfoil_opt\data\processed\FX 74CL6140.dat,优秀,3
FX 76MP120,0,-0.099661573,0.12931636,-0.042592299,0.26390835,0.23941337,0.37719635,0.41563207,0.37270795,0.83408848,0.0231125679999999,36.08809198527847,0.12198580233047568,0.07614256539253983,..\airfoil_opt\data\processed\FX 76MP120.dat,优秀,3
FX 76MP140,0,-0.13316758,0.099788114,-0.097858981,0.23705612,0.26604165,0.37610456,0.45028894,0.34958135,0.78880062,0.023454778,33.630700746773215,0.14152048160261396,0.07151438325490148,..\airfoil_opt\data\processed\FX 76MP140.dat,优秀,3
mh113,0,-0.12071896,0.021071401,-0.0093053869,0.20863971,0.29335245,0.39498183,0.36459993,0.4040032,0.76030989,0.023145412,32.84927008428279,0.14680607441083862,0.06885964395672446,..\airfoil_opt\data\processed\mh113.dat,优秀,3
mh114,0,-0.096675623,0.026599028,0.0030608527,0.21167296,0.26007646,0.37087281,0.32898783,0.401954,0.75013523,0.0218993979999999,34.25369181381166,0.13071411337752017,0.06578687099238117,..\airfoil_opt\data\processed\mh114.dat,优秀,3
mh115,0,-0.088763609,0.029625767,-0.00013503793,0.17897465,0.2225544,0.31936504,0.27069611,0.33490925,0.65362737,0.019472895,33.566009060286106,0.11119338986850556,0.05572038580349988,..\airfoil_opt\data\processed\mh115.dat,优秀,3
