name,is_baseline,status,dat_file,t_max,x_tmax,dz_u,dz_l,Au_0,Au_1,Au_2,Au_3,Au_4,Au_5,Al_0,Al_1,Al_2,Al_3,Al_4,Al_5
sample_000,True,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_000.dat,0.1394540908425421,0.3386773547094188,-5.418617429753247e-10,-1.4100489872936883e-10,0.23559289206267667,0.2567727128844104,0.28027971024762605,0.29364145998818697,0.28438520662898625,0.24003859607171107,-0.1140555941110593,-0.09320468057486125,-0.09709553187044148,-0.08954604797281684,-0.03437392247371389,0.10460297638608444
sample_001,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_001.dat,0.14413258909913498,0.406813627254509,-5.418617429753247e-10,-1.4100489872936883e-10,0.18248581587180182,0.2711213434196319,0.2651252984279004,0.35762768809233514,0.33759037792550267,0.2911740421345692,-0.15442155955189849,-0.05747947281465193,-0.08566663505194003,-0.1527650814207678,-0.018286058302480715,0.07020265675371756
sample_002,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_002.dat,0.13027520516013086,0.3226452905811623,-5.418617429753247e-10,-1.4100489872936883e-10,0.2518304237522697,0.2541880735445936,0.24808794768372766,0.24456843263229897,0.2387504759474449,0.1807530652428487,-0.09844065547929867,-0.0676927581561185,-0.11102789947458222,-0.10179677355672144,-0.02119804963582811,0.10842557255556985
sample_003,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_003.dat,0.12804171453494995,0.35270541082164325,-5.418617429753247e-10,-1.4100489872936883e-10,0.256065432159597,0.19886251086306322,0.27122592776063636,0.2490043303284854,0.3121051682063404,0.2394593984957634,-0.15026014016457132,-0.02915519808500555,-0.15545043673481346,-0.03194482114733986,-0.09066128397735779,0.1415065555349638
sample_004,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_004.dat,0.13944511892554723,0.2865731462925851,-5.418617429753247e-10,-1.4100489872936883e-10,0.2828149655322143,0.28489815179080413,0.29404004477070833,0.2492967427753145,0.2607739867960173,0.2647530972947194,-0.13240295041989952,-0.08083841901711436,-0.056954327719895725,-0.08822912755046655,-0.0352741705998965,0.05639132128374382
sample_005,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_005.dat,0.1263883632703433,0.2945891783567134,-5.418617429753247e-10,-1.4100489872936883e-10,0.2446337424523322,0.2697606010024976,0.22210905153674487,0.2373074885914752,0.22226367318293608,0.2505543089974731,-0.15658337511054027,-0.03589901042421649,-0.09964863790432146,-0.09141533887646609,-0.09739270488021828,0.14731971711304467
sample_006,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_006.dat,0.1418706783871268,0.3226452905811623,-5.418617429753247e-10,-1.4100489872936883e-10,0.1873482971393215,0.246245217879878,0.33509072311839766,0.2609018267538776,0.2532168643745862,0.23782395252365407,-0.15093739206499057,-0.13110435625002667,-0.0660715360827707,-0.07476389681321698,-0.028065853145358255,0.0870609039036283
sample_007,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_007.dat,0.15617937047647945,0.3386773547094188,-5.418617429753247e-10,-1.4100489872936883e-10,0.1807455971296601,0.26931910479563537,0.2880746573433463,0.30245707338421174,0.22715976183664646,0.20670122997376808,-0.15527053689759557,-0.15809928508631715,-0.12375977237726986,-0.14539460150080832,-0.039817804240384946,0.0856951720663591
sample_008,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_008.dat,0.15228934725856635,0.31462925851703405,-5.418617429753247e-10,-1.4100489872936883e-10,0.26219759034967177,0.2657782420698098,0.2663504391039077,0.2429880972948985,0.33507122974147,0.2643485055245355,-0.14414212782662778,-0.12697836167403465,-0.1556341987476579,-0.09729240314574521,-0.06846005352144004,0.08617501856134747
sample_009,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_009.dat,0.1437829469041165,0.3166332665330661,-5.418617429753247e-10,-1.4100489872936883e-10,0.23140153496976204,0.3158717832247363,0.26544948306944227,0.316958095523926,0.31151979630245824,0.2077379547867808,-0.06597863617438579,-0.1301220091942314,-0.07410969028211851,-0.05641484512254395,-0.01439286713723302,0.06913271545072452
sample_010,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_010.dat,0.1361531793885886,0.3166332665330661,-5.418617429753247e-10,-1.4100489872936883e-10,0.26912453817929005,0.28494782067670993,0.27114020963584046,0.27663725516323806,0.3317653570548932,0.22014173037573612,-0.10999758108558072,-0.07724558714614926,-0.057901270229693866,-0.08700840142899927,-0.046804703870494395,0.1113952762865569
sample_011,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_011.dat,0.16241693714006777,0.3306613226452906,-5.418617429753247e-10,-1.4100489872936883e-10,0.2871089369053709,0.3190297261789423,0.33253239173979393,0.27271875667999884,0.3456549334005849,0.25680911686737656,-0.11859084874946149,-0.07857053933789632,-0.1569911601276441,-0.07893697716907225,-0.08933537386432042,0.0867561326424918
sample_012,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_012.dat,0.1518249321280748,0.34669338677354705,-5.418617429753247e-10,-1.4100489872936883e-10,0.2144825334305693,0.2680959841680174,0.2758084975716977,0.3248394836526977,0.34046213149717197,0.26599679644050933,-0.17236343116408767,-0.11132518384152121,-0.12357104225911411,-0.09738857591232757,-0.059501867433145054,0.062086759954878515
sample_013,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_013.dat,0.1351453236542266,0.3166332665330661,-5.418617429753247e-10,-1.4100489872936883e-10,0.2066051896479184,0.19434957499360908,0.22877097426785636,0.2832830017133061,0.2404071676357598,0.22071005635812144,-0.15425387274448948,-0.14467568117508736,-0.15586768679148802,-0.030747397771923562,-0.07372999903794564,0.149264715578021
sample_014,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_014.dat,0.12408066106221974,0.3166332665330661,-5.418617429753247e-10,-1.4100489872936883e-10,0.2290685184680773,0.25082222958940376,0.23662337071438785,0.2577815105388874,0.3035292024136701,0.20953920837846582,-0.1385155459902702,-0.07388125632972985,-0.04514361908445541,-0.09789819457075159,-0.0655591709181187,0.13278626125850554
sample_015,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_015.dat,0.13517140242851378,0.30861723446893785,-5.418617429753247e-10,-1.4100489872936883e-10,0.26901874002529874,0.3104234616035043,0.2586744973683206,0.2422034883703202,0.2815896896544704,0.28987747229564015,-0.05704319345524976,-0.07015523949520859,-0.09227990694897507,-0.09465872052170168,0.030115465496544022,0.09500476369106484
sample_016,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_016.dat,0.14336911084475812,0.3246492985971944,-5.418617429753247e-10,-1.4100489872936883e-10,0.26142902338013385,0.2193419475089699,0.2495547425230592,0.3217807461370283,0.29298496555153664,0.20522791876223653,-0.16790797778089503,-0.13507286768609325,-0.09421358697009173,-0.10456212788419683,-0.08870844628009349,0.16819542560291728
sample_017,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_017.dat,0.15530779993501737,0.35270541082164325,-5.418617429753247e-10,-1.4100489872936883e-10,0.199875586375201,0.30072734978615956,0.3341730922735186,0.33184592340147995,0.34629992678705446,0.26838946736150515,-0.1740459517820879,-0.09782490862651258,-0.06084957362308904,-0.12932360626307546,-0.03311732004318475,0.07304383860253
sample_018,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_018.dat,0.14612296799800403,0.3386773547094188,-5.418617429753247e-10,-1.4100489872936883e-10,0.255438350917742,0.2944528093618105,0.28226161898875124,0.3059760629031405,0.2536079811452518,0.24996138081097063,-0.11316243018881504,-0.09568171068099374,-0.06669284576025203,-0.1358090720984193,-0.0975292577582806,0.11727893110574508
sample_019,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_019.dat,0.13488465190523463,0.374749498997996,-5.418617429753247e-10,-1.4100489872936883e-10,0.17300820039087503,0.21004865422142735,0.26468598815987215,0.31076700321138884,0.2950191244090319,0.2273429187877806,-0.17009970900949883,-0.09311416792380532,-0.10171369054343793,-0.10435953137002389,-0.04399607696296736,0.13046819255574946
sample_020,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_020.dat,0.14229977662789814,0.344689378757515,-5.418617429753247e-10,-1.4100489872936883e-10,0.17417794755299765,0.3031302017760853,0.3112942141492138,0.2602384700805129,0.3091747998632672,0.2419802723837641,-0.080596456123598,-0.11390105852088105,-0.07243603827590961,-0.08311406080508538,-0.06912880166165855,0.16734018390636474
sample_021,False,ok,multi_seed_output\seed_2_HQ_3pt5_14_AIRFOIL_hq3514il\airfoils\sample_021.dat,0.12812975340133356,0.30861723446893785,-5.418617429753247e-10,-1.4100489872936883e-10,0.20042100824938683,0.3027236554034222,0.24056621471665562,0.258928793290335,0.27956601859119223,0.18865672536238381,-0.15258786339802866,-0.055973770110864976,-0.04096796115420344,-0.11766295775363589,-0.020997089829264154,0.045854460531332575
