model,target,target_transform,requested_n_pool,n_pool,n_train,n_val,n_test,seed,r2,rmse,mae,mape_percent,nn_hidden_layer_sizes,nn_activation,nn_alpha,nn_learning_rate_init,nn_max_epochs,nn_patience,status,error
svr,cl,identity,100,100,85,15,221,42,0.8652665264684947,0.018664356197664468,0.013537245466861893,1.9056007171274276,,,,,,,ok,
svr,cl,identity,200,200,170,30,221,42,0.9413898724499526,0.012310100376425359,0.008929812583932707,1.2690107440030831,,,,,,,ok,
kriging,cl,identity,100,100,85,15,221,42,0.9959369246028689,0.0032411766510229314,0.002410813553167855,0.340303718303162,,,,,,,ok,
nn,cl,identity,100,100,85,15,221,42,0.9382503220451974,0.012635505158714354,0.00938881238988384,1.2917775370277325,"(128, 64)",relu,0.0001,0.001,600,60,ok,
svr,cl,identity,400,400,340,60,221,42,0.9508509320970954,0.011272828604660579,0.008172722899245364,1.160720462187064,,,,,,,ok,
nn,cl,identity,200,200,170,30,221,42,0.9668698820889567,0.00925522010964108,0.0073847756651014935,1.0522289836661853,"(128, 64)",relu,0.0001,0.001,600,60,ok,
svr,cl,identity,600,600,510,90,221,42,0.9666122124168868,0.009291141662248972,0.006801679438184236,0.9660704407683872,,,,,,,ok,
kriging,cl,identity,200,200,170,30,221,42,0.9979689147957002,0.0022916027364129703,0.0017730749084766241,0.25136418923990467,,,,,,,ok,
nn,cl,identity,600,600,510,90,221,42,0.9896185046506443,0.005180900095816141,0.00417806220822093,0.5907647345590764,"(128, 64)",relu,0.0001,0.001,600,60,ok,
svr,cl,identity,800,800,680,120,221,42,0.976847425188677,0.007737041191375935,0.005279725821991156,0.748666611264563,,,,,,,ok,
nn,cl,identity,400,400,340,60,221,42,0.9877171481516562,0.005635401557874064,0.004495721574093236,0.6320657851671634,"(128, 64)",relu,0.0001,0.001,600,60,ok,
nn,cl,identity,800,800,680,120,221,42,0.9926927364623794,0.004346629730281565,0.0034878415820276737,0.49316706012851197,"(128, 64)",relu,0.0001,0.001,600,60,ok,
svr,cl,identity,all,1247,1059,188,221,42,0.9885059513802064,0.005451446770353236,0.003910709743299246,0.5557208769352794,,,,,,,ok,
nn,cl,identity,all,1247,1059,188,221,42,0.9956458050196726,0.003355283315791745,0.002598279041749732,0.3675605488801466,"(128, 64)",relu,0.0001,0.001,600,60,ok,
kriging,cd,identity,100,100,85,15,221,42,0.7094491549651027,0.0003217793754935157,0.0002540057689098073,4.573297010108901,,,,,,,ok,
svr,cd,identity,100,100,85,15,221,42,0.7704176906600928,0.00028603313299952257,0.00021426530388217238,3.875190262602256,,,,,,,ok,
nn,cd,log,100,100,85,15,221,42,0.7566981558123699,0.000294455610330692,0.00021848255784101626,3.9758978275655505,"(256, 128)",relu,0.03,0.0005,800,80,ok,
kriging,cl,identity,400,400,340,60,221,42,0.9983797851872056,0.002046734735493824,0.0014910271220797751,0.21201739909300177,,,,,,,ok,
svr,cd,identity,200,200,170,30,221,42,0.8171007250305529,0.0002553013580420504,0.0001822122279825506,3.3374424096882604,,,,,,,ok,
kriging,cd,identity,200,200,170,30,221,42,0.8790866093914224,0.00020757943850604688,0.00015398275565584298,2.809237323796667,,,,,,,ok,
nn,cd,log,200,200,170,30,221,42,0.8203269845685272,0.0002530396401683184,0.00019664578280640025,3.546447950320575,"(256, 128)",relu,0.03,0.0005,800,80,ok,
svr,cd,identity,400,400,340,60,221,42,0.8488568626059563,0.0002320819418101299,0.00016728476297793817,2.9870972488594525,,,,,,,ok,
nn,cd,log,400,400,340,60,221,42,0.8849658581470204,0.00020246992013430638,0.0001526444595776141,2.723598213833746,"(256, 128)",relu,0.03,0.0005,800,80,ok,
kriging,cl,identity,600,600,510,90,221,42,0.9988892519751046,0.0016946617835281756,0.001248451149302692,0.17606555192332055,,,,,,,ok,
svr,cd,identity,600,600,510,90,221,42,0.8885612562855432,0.00019928069850276206,0.00015236550543900213,2.715651552592502,,,,,,,ok,
kriging,cd,identity,400,400,340,60,221,42,0.9320875181618672,0.0001555685966251102,0.00011359271169865683,2.0443702320876755,,,,,,,ok,
nn,cd,log,600,600,510,90,221,42,0.9331025810227325,0.0001544016062973324,0.00011521851920608226,2.063008229695041,"(256, 128)",relu,0.03,0.0005,800,80,ok,
svr,cd,identity,800,800,680,120,221,42,0.9057970763795725,0.00018322271902239848,0.00013166794556767142,2.346318528660273,,,,,,,ok,
nn,cd,log,800,800,680,120,221,42,0.9318279940792709,0.00015586556191154202,0.00011509555072168258,2.075774017289396,"(256, 128)",relu,0.03,0.0005,800,80,ok,
kriging,cd,identity,600,600,510,90,221,42,0.9412875481413199,0.00014464793618553458,0.00010023491679874916,1.809797865647555,,,,,,,ok,
svr,cd,identity,all,1247,1059,188,221,42,0.9177620768483729,0.00017119189527736196,0.00012380576278425308,2.208691475062155,,,,,,,ok,
kriging,cl,identity,800,800,680,120,221,42,0.9988324392332654,0.001737460769941946,0.0012117405346472416,0.17217782727986272,,,,,,,ok,
kriging,t_max,identity,100,100,85,15,221,42,0.9971022742205388,0.000541767684907399,0.0004068482799255476,0.3372724109236309,,,,,,,ok,
svr,t_max,identity,100,100,85,15,221,42,0.8497849932720252,0.0039006871122643626,0.0028947845917556177,2.3642201431643612,,,,,,,ok,
nn,t_max,identity,100,100,85,15,221,42,0.9632146543502617,0.0019302869529959966,0.0015480451332969775,1.302927333983641,"(256, 128)",relu,0.0001,0.001,700,70,ok,
kriging,t_max,identity,200,200,170,30,221,42,0.9991497341326245,0.00029346872640785234,0.00017736455303820527,0.1482067467996922,,,,,,,ok,
svr,t_max,identity,200,200,170,30,221,42,0.932080227089435,0.002622905037663684,0.0018534282207126403,1.5351809088609514,,,,,,,ok,
nn,t_max,identity,200,200,170,30,221,42,0.9632430482970984,0.001929541832287523,0.0015927896503430974,1.2950760428069537,"(256, 128)",relu,0.0001,0.001,700,70,ok,
